t;x;y;z;vx;vy;vz;a;e;w;i;raan;nu
2370;-6279684.13524836;1664640.13736168;3299562.16667382;-3835.5163859551;-2744.9405901219;-5493.40374674793;6994820.10744807;0.0493158957522439;0.006466663054742;1.10637041774459;-0.00185437456213384;2.60402667163543
2400;-6391822.67362405;1581533.45455765;3133253.17514719;-3639.87990146723;-2795.05916806536;-5592.96838937271;6995155.35954789;0.0492646020055295;0.00672575604379333;1.10638369240768;-0.00186280355023624;2.63354872363407
2430;-6498047.41108256;1496963.47948149;2964037.99199385;-3441.29175674376;-2842.48869675271;-5687.14050778526;6995476.30421684;0.049213695960981;0.0068943844288474;1.10639644287531;-0.00187034779326242;2.66311727291817
2460;-6598272.38812735;1411011.29848337;2792079.21580765;-3239.92467694322;-2887.20182387105;-5775.86585824041;6995782.08202111;0.0491635739094065;0.00697354410255006;1.10640862874538;-0.00187704761227861;2.69273381662558
2490;-6692416.83020581;1323758.79112226;2617541.01756126;-3035.95159293783;-2929.17301556912;-5859.09384800744;6996071.88550103;0.0491146235260179;0.00696491666970036;1.10642021173294;-0.00188294547793051;2.72239918425917
2520;-6780405.15328649;1235288.57610574;2440589.03206875;-2829.54560257817;-2968.37852382829;-5936.77746974187;6996344.95939309;0.0490672212662217;0.00687085555907493;1.10643115573732;-0.00188808587371359;2.75211355019024
2550;-6862166.96835162;1145683.95818282;2261390.25136472;-2620.879937063;-3004.796355574;-6008.87323936696;6996600.60077475;0.0490217298446898;0.00669436769357409;1.10644142690355;-0.00189251515918777;2.78187645065219
2580;-6937637.08495292;1055028.87593629;2080112.91989242;-2410.12793205524;-3038.40624360636;-6075.3411376224;6996838.15914468;0.0489784958111958;0.00643909068815167;1.10645099367818;-0.00189628143330711;2.81168680525175
2610;-7006755.51396758;963407.850418957;1896926.43138856;-2197.46300318801;-3069.18961942168;-6136.14455542302;6997057.03645009;0.0489378472367764;0.00610926558442453;1.10645982685989;-0.00189943439800058;2.84154294298602
2640;-7069467.46968085;870905.934576093;1712001.22734858;-1983.05862560781;-3097.12958798908;-6191.25024315571;6997256.68707203;0.0489000915236958;0.00570970517593054;1.106467899645;-0.00190202522210757;2.87144263270829
2670;-7125723.37131111;777608.663394494;1525508.69695253;-1767.08831720515;-3122.21090454036;-6240.62826402982;6997436.61777876;0.0488655133525214;0.00524575802710103;1.10647518766825;-0.00190410640574275;2.90138311793642
2700;-7175478.84408287;683602.004717004;1337621.07832827;-1549.72562518597;-3144.41995342435;-6284.2519515835;6997596.38765614;0.0488343727792629;0.00472326834150187;1.106481669039;-0.0019057316451364;2.93136115584494
2730;-7218694.71994265;588972.310659858;1148511.36102607;-1331.14411564012;-3163.74472907183;-6322.09787143664;6997735.60802343;0.0488069034950109;0.00414853188941978;1.10648732437299;-0.00190695569797282;2.96137306022783
2760;-7255337.03800271;493806.26956892;958353.189575847;-1111.51736576637;-3180.17481911072;-6354.14578736989;6997853.94234177;0.0487833112598368;0.00352824825973607;1.10649213682;-0.00190783424922655;2.99141474816356
2790;-7285377.04478705;398190.858449758;767320.767996321;-891.018958415473;-3193.70138966675;-6380.37863179848;6997951.10612189;0.0487637725218441;0.00286946975516098;1.10649609208745;-0.00190842377747676;3.02148179006014
2820;-7308791.19434431;302213.295805552;575588.765123251;-669.822478615864;-3204.31717287891;-6400.78248069943;6998026.86683656;0.0487484332312338;0.00217954730144486;1.10649917846008;-0.00190878142166312;3.05156946270629
2850;-7325561.14828206;205960.994815985;383332.220622462;-448.101511748194;-3212.01645665503;-6415.34653304085;6998081.04384261;0.0487374078580373;0.00146607378877259;1.10650138681593;-0.00190896484823133;3.08167280490712
2880;-7335673.7757668;109521.516789621;190726.451551936;-226.029643036931;-3216.79507668724;-6424.063094753;6998113.50831627;0.0487307786208269;0.000736825305708191;1.10650271063861;-0.00190903211860522;3.1117866752407
2910;-7339121.15352447;12982.5248217065;-2053.04066373728;-3.78045802871659;-3218.65041074344;-6426.92756727115;6998124.183205;0.0487285949322283;-2.99238495141581e-07;1.10650314602603;-0.00190904155691158;-3.14127949574329
2940;-7335900.56586583;-83568.2624110501;-194830.662984048;218.472456271768;-3217.58137524577;-6423.93844067193;6998113.04319771;0.0487308730654677;-0.000737339579814018;1.10650269169559;-0.00190905161787744;-3.11116041633204
2970;-7326014.50475184;-180043.116787454;-387430.823366427;440.555509936883;-3213.58842414319;-6415.09729141595;6998080.11471485;0.0487375960445251;-0.00146633611132518;1.10650134898587;-0.0019091207548143;-3.0810467157047
3000;-7309470.6699037;-276354.346879429;-579678.023381531;662.295108650165;-3206.67355008091;-6400.4087847007;6998025.47591874;0.0487487137587333;-0.00217939188921096;1.10649912185487;-0.00190930728760148;-3.05094365419744
3030;-7286281.96895284;-372414.344159144;-771396.950968238;883.517652567624;-3196.84028786502;-6379.88068141957;6997949.25674359;0.0487641433009484;-0.00286873408117552;1.1064960168747;-0.00190966927058079;-3.02085637002752
3060;-7256466.51761604;-468135.629344432;-962412.573466341;1104.04953583471;-3184.09372021658;-6353.52384971391;6997851.63894409;0.0487837695266788;-0.00352677431531211;1.10649204322287;-0.00191026436027733;-2.99078981994401
3090;-7220047.6398711;-563430.898951069;-1152550.23106445;1323.7171470882;-3168.44048580507;-6321.35228109646;6997732.85616025;0.048807445829913;-0.00414616740649177;1.10648721266982;-0.00191114968286568;-2.96074872151117
3120;-7177053.86809852;-658213.072120048;-1341635.73079978;1542.34687127354;-3149.88878954648;-6283.3831111157;6997593.19399564;0.0488349951297782;-0.0047198679651677;1.10648153956299;-0.00191238170130865;-2.93073749752285
3150;-7127518.94314484;-752395.337787555;-1529495.44124553;1759.76509310936;-3128.44841514728;-6239.63664452143;6997432.99010497;0.0488662110607028;-0.00524118442901635;1.10647504080693;-0.00191401608210496;-2.90076022301088
3180;-7071481.81425308;-845891.202264646;-1715956.38802012;1975.79820253308;-3104.13073987028;-6190.13638488251;6997252.63428641;0.0489008593573919;-0.00570383010019085;1.10646773583969;-0.00191610756159478;-2.87082057526797
3210;-7008986.63879603;-938614.537292886;-1900846.35025103;2190.2726024635;-3076.94875149399;-6134.90906859824;6997052.56857299;0.0489386794247308;-0.00610197081863322;1.10645964660508;-0.00191870981178659;-2.84092178725799
3240;-6940082.78173752;-1030479.62864125;-2083993.95812403;2403.01471921855;-3046.91706743182;-6073.98470323397;6996833.28731646;0.048979386081713;-0.00643026895348608;1.10645079752075;-0.00192187530568615;-2.81106660473483
3270;-6864824.81473721;-1121401.22530854;-2265228.79164637;2613.85101592933;-3014.05195597214;-6007.39661010181;6996595.33725646;0.0490226714676056;-0.0066839234488069;1.10644121544196;-0.00192565518212794;-2.78125724733695
